               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11223,            0.025594,            0.047687,           0.0020349,             0.46214,           0.0060192,           0.0014126,            0.089217,            0.015932,            0.039519,              0.0811,              0.0021,              0.0021
                   1,             0.08729,            0.027638,            0.035337,             0.52117,             0.17226,             0.22682,             0.07169,            0.068232,            0.014376,            0.027517,            0.061296,           0.0042957,           0.0042957
                   2,            0.069152,            0.023416,            0.026816,             0.68882,             0.31911,             0.31458,            0.089275,            0.068304,            0.013308,            0.021008,            0.041487,           0.0064871,           0.0064871
                   3,            0.067443,            0.023357,            0.023308,             0.50516,             0.41641,             0.28613,            0.093271,            0.073883,            0.014686,            0.016547,            0.021674,           0.0086742,           0.0086742
                   4,            0.067523,            0.021418,            0.020694,             0.66334,             0.43713,             0.45795,              0.1544,            0.064118,             0.01031,            0.014574,           0.0099604,           0.0099604,           0.0099604
                   5,            0.062396,            0.019024,            0.016352,             0.56784,             0.61459,             0.53844,             0.23007,            0.057888,           0.0093288,            0.011549,           0.0099604,           0.0099604,           0.0099604
                   6,              0.0597,            0.016242,            0.013644,             0.54423,             0.68606,             0.63779,             0.27585,            0.052934,           0.0074579,           0.0098159,           0.0099505,           0.0099505,           0.0099505
                   7,            0.056349,            0.014531,            0.011024,             0.67973,             0.67775,             0.72548,             0.30508,            0.047337,           0.0076744,           0.0088179,           0.0099406,           0.0099406,           0.0099406
                   8,            0.053713,             0.01467,             0.01039,             0.64739,             0.52621,             0.59156,             0.30198,            0.057461,           0.0075547,           0.0069292,           0.0099307,           0.0099307,           0.0099307
                   9,            0.052485,             0.01405,           0.0095409,             0.54026,             0.70962,             0.54734,             0.24841,            0.051599,             0.00791,           0.0073828,           0.0099208,           0.0099208,           0.0099208
                  10,            0.048567,            0.013317,           0.0091992,             0.61155,             0.73441,             0.72389,             0.33014,            0.046806,           0.0082139,           0.0057482,           0.0099109,           0.0099109,           0.0099109
                  11,             0.04799,            0.013866,           0.0080697,             0.63868,             0.74274,             0.75774,             0.40976,             0.03859,           0.0062759,            0.006331,            0.009901,            0.009901,            0.009901
                  12,            0.045581,            0.012261,           0.0069548,              0.6241,             0.80585,             0.75062,             0.42822,            0.039584,            0.006662,           0.0051804,           0.0098911,           0.0098911,           0.0098911
                  13,            0.041847,            0.012219,           0.0069411,             0.71153,             0.78738,             0.81717,              0.4974,            0.041372,           0.0071144,           0.0047336,           0.0098812,           0.0098812,           0.0098812
                  14,            0.041723,            0.011341,           0.0062334,              0.6786,             0.84709,             0.82843,             0.43843,            0.035772,           0.0063791,           0.0050543,           0.0098713,           0.0098713,           0.0098713
                  15,            0.040147,            0.011387,           0.0064747,             0.84529,             0.77015,             0.88107,             0.51045,            0.033787,           0.0060982,           0.0056715,           0.0098614,           0.0098614,           0.0098614
                  16,            0.040987,            0.012309,           0.0055642,             0.55497,             0.85424,             0.72937,             0.38824,             0.03818,           0.0060694,           0.0044883,           0.0098515,           0.0098515,           0.0098515
                  17,            0.041272,             0.01237,            0.006749,             0.76794,             0.83158,             0.86415,             0.51213,            0.037524,           0.0060377,           0.0035346,           0.0098416,           0.0098416,           0.0098416
                  18,            0.038794,             0.01134,           0.0048965,             0.77382,             0.88756,             0.88858,             0.56918,            0.029305,           0.0060806,           0.0041926,           0.0098317,           0.0098317,           0.0098317
                  19,            0.038156,            0.011939,           0.0056246,             0.81726,              0.8548,              0.8768,             0.50319,            0.035904,           0.0054668,           0.0053454,           0.0098218,           0.0098218,           0.0098218
                  20,            0.039223,            0.010574,           0.0048768,             0.84834,             0.78849,             0.86637,             0.55134,            0.032493,           0.0055673,            0.012647,           0.0098119,           0.0098119,           0.0098119
                  21,            0.035844,            0.010486,           0.0053528,             0.72897,             0.87691,             0.83368,             0.51622,            0.033725,           0.0056736,           0.0066993,            0.009802,            0.009802,            0.009802
                  22,            0.037466,            0.011603,           0.0050558,             0.84177,             0.86007,               0.896,             0.56562,            0.032287,           0.0054358,           0.0045539,           0.0097921,           0.0097921,           0.0097921
                  23,            0.034213,            0.011003,           0.0046582,               0.827,              0.8979,             0.90969,             0.55408,             0.03214,            0.005724,           0.0043349,           0.0097822,           0.0097822,           0.0097822
                  24,            0.038276,            0.011116,           0.0042983,             0.91563,             0.82326,             0.92205,             0.53625,            0.031023,           0.0056039,           0.0041001,           0.0097723,           0.0097723,           0.0097723
                  25,              0.0351,            0.011154,           0.0039255,             0.79941,             0.82386,             0.90729,             0.56314,            0.031673,           0.0052761,           0.0036589,           0.0097624,           0.0097624,           0.0097624
                  26,            0.034633,           0.0097168,           0.0040568,             0.88582,             0.83651,             0.91272,              0.5617,            0.032403,           0.0054124,           0.0031235,           0.0097525,           0.0097525,           0.0097525
                  27,            0.034618,            0.010585,           0.0042907,              0.8288,              0.8946,             0.91081,             0.49827,            0.032974,           0.0050959,            0.003587,           0.0097426,           0.0097426,           0.0097426
                  28,             0.03531,            0.010699,           0.0046859,             0.93319,             0.84979,             0.92128,              0.6064,            0.028877,            0.005228,           0.0053263,           0.0097327,           0.0097327,           0.0097327
